author,count(followers)
GORELOV_ARTEM,31
GRAYS0NWILDE,110
JAYNELLSELTZER,81
JAMIE_MCCARTHY_,779
JANNATROJANOVA,519
KALININSKVLADIM,13
GREG_GREGG_,13
JACQUELINISBEST,5859
KARL_SUMMERS,58
HENY_AMBERH,212
INGERASIMOVA,30
GRACH_VASILII,32
JACKIECOWBOY,17
KAMALOVATEMPSEN,253
GECNOT,435
GARIK999999,513
GREBENNIKOVA__,467
ILL_VAN,14
IVANOVSIMPVEGAU,221
GUSEVGLOSINNUNT,252
HAPPYDAAAYYY,5
HIIMKHLOE,1705
IMISSOBAMA,4171
HOWMARCELLA,37
GOLOSOVALENA,499
INSTASEX_TOP,1
JOHNIEBOYCOOKS,1483
HATTIEB78,144
INGA_MINSK,585
JAEDENMASSEY,599
JUVYLYNJOSLYN,7
IVANOVADAN,489
JADONHUTCHINSON,9044
GUDIMOVONLINE,484
HUNTERODDDDOM,4602
GRISHINKOST,486
JIMWAZZUP,17
INGAGEORG,492
GRAF_VEBER,90
IGORBEREJNEV,526
IRALIRONOVA,997
JASSSCOTT,8238
JESSEJYM,18
JIHADIST2NDWIFE,981
HOLLYDLER,5199
HOTHOTCHERRY,523
ILIYINSKY,338
INNA_VINOCURY,83
JANSKEESTR,1356
JEMALHUSSEIN231,17
KADIROVRUSSIA,4106
GAVRUSHAMSK,60
HAMIDMANSOOR123,11
IVANIMLIN,470
GARR_V_,31
GLAVA39,24
IAMARITCHBITCH,467
JIMYLEVY,4
GOLODOVA_DARIAN,686
GVARDEYKALENA,1234
JAYDAASTONISHIN,4404
KARUCZ_00,28
JENNYHUTCH31,228
GUY_WHOMAKEIT,77
INGAPRUS,1004
ISAEVBRO,13
JABRMAHMOOD,3
JUANTHOMSSTRUMT,1346
INSPECTAN,48
JEALYNAVAN,3
INEEDCOSMO,485
GOAOLL,40
JAMHARRIS_,51
JOHNNYBLACK91,61
GABIJENSEN91,172
IBRAHIMNOOH132,10
JAYCOBBRI,53
JOHNCOPPER16,821
GOODSPB_LJ,510
HORRORKI,1884
GEOREVIEWEUROPE,39
I_AM_A_SCATMAN,42
JONATHANDOTNET,18
JRRBRTT,320
JON_UNDERWOOD_,483
GASOLINEBECKER,12
HAMZA24MOHAMME1,13
JAYBRND,32
KARUCZ,12
GLOBALFOE,484
JMCD0WELL,129
GWENDOLYNGOLDNE,3
HANNOVER_BOTE,1550
ILLI_ALT,64
INSTOTUS,559
JACKKRASSEN,96
JEANETTEDBOLDEN,2588
KARLGOLDEARL,28
GRIILYIN,7
HARVEYRYAN92,161
GEOMAKSS123,516
HUSEINALJABBER,1
IPHONEOFAPPLE,512
JANELOUISMILLER,62
JUSTICE4ALTON,8
IBETYOUWILL,3
IRAIRAIREN,528
IWOMAMYBB,68
GERTY_HAWA,261
GUNS4LIFE_ME,222
HALIALHASHIMI,9
GEPADIKULAXE,171
IVANNIKIPHOROF,43
KARMAISABITCHH1,123
HERBERT_BACON,44
J_CL_K,95
INFORMSYRIEN,2286
INGUARD82,19
HERNAMEISCUTIE,220
IBOCASID,15
IGOR_ROMAHCHUK,88
GGAZARJN,11
IANCALH0UN,1014
JANI_S_JAC,6447
JAVONHIDP,6610
HAMBURGBOTE,10811
JENN_ABRAMS,22861
IRINA_GENADIEVN,496
GL_WORKMAN,115
JAMIMAHDI,58
GABRIELITAA7X,4
IANAMONTANA,890
IJOHNKIMBLE,16
GOLLDOR,16
JERALDWOOW,4
JUSMASXTRT,1741
JUSTBE_MINE,156
GARRETTHESHADOW,14
GREENMETERS,3
HALIID_MAS,2
HELLIEEDWARDS,3790
HMZAMAHMUDHAM,11
IRINA_BYKOV,65
JOHNBENBENTON,12
JULY_REUTOVA,513
JULIASEXYBECK,16
GLENNHARPER_,678
ISA_BELLA_GR,194
JJEANMOREAU,26
JASPER_FLY,3745
ITSMONAMUUA,96
JAMIE_DIVER_,11
JOTEFOKIS,696
GENABABKIN,577
ILYAZELUDEV,38
HASHTAGMEMOM,116
JOEDOLTON,13
IGNAT_IRINKA,45
IRINA__GROMOVA,541
ISABEL_STAFF,219
GAB_ARTEA_G,145
GUSEVAPLANIMNAC,357
HOROSHILOVVV,44
JUSTICE4TAMIR_,21
GLOTOVGLEB,520
JOHNNYMARCH_,1336
JACKSONCITYPOST,6140
KADENMCCRAY,1
KAIDALOVAMARI,883
HIPPPO_,2691
GRICKIHH,479
ILOVESARAHRICH,3665
IRIS0_O,653
GREENMONIKA6,5
HARRYMAGICIAN_,50
HERNAMEWASNANCY,46
HOUSTONTOPNEWS,4668
JAMALMUNAKE,6
JAILIJA,31
JEMISHAAAZZZ,1925
GAVRILOVA1LOVE,493
JOHNS_GAVIN_,52
KAHALEETR,1128
JANELPERKINSON,1253
JULIANNA_YES,66
JSNCAREY,1073
KAMILABUROVA,474
HISTERIAME,497
JEBLARY2016,1332
HEYITSGLOR,401
GATTISILGATTI,2631
GEVIWSEKTOR,12
IRANOVICOWA,495
IVANSKAYA_LIDA,5
JARRARDNORMAN,1809
GWEN_GARLAND,69
IRIRMOSKA,700
KALVINNUTZZZ,63
GELENVAG,26
HAMIDMAHHAMSYR,20
HEREANDTHERE_,1
